country,country_id,year,electoral_democracy_index,electoral_fairness_index,liberal_democracy_index,freedom_of_expression_index,freedom_of_association_index,free_and_fair_elections_index,civil_society_participation_index,voting_age_restrictions,compulsory_voting,women_voting_rights,election_monitoring_quality,campaign_donation_regulation,public_campaign_financing,vote_buying,campaign_freedom,electoral_fairness_index,election_result_acceptance,voter_turnout,voter_participation_rate,party_ban_restrictions,opposition_party_autonomy,academic_freedom,religious_freedom,freedom_of_movement,men_domestic_movement_freedom,women_domestic_movement_freedom,freedom_to_choose_residence,men_property_rights,women_property_rights,state_control_over_internet,state_territorial_control,civil_society_organizational_autonomy,civil_society_repression,government_consultation_with_civil_society,gender_inclusion_in_civil_society,religious_organization_control,media_censorship,media_censorship_effort,media_censorship_binary,journalist_harassment,media_self_censorship,media_bias,media_corruption,legislative_constraints_on_executive,judicial_constraints_on_executive,other_constraints_on_executive,education_equality,health_equality,gdp_per_capita
Uganda,50,1996,0.308,-0.329,0.245,0.678,0.229,0.347,0.879,18.0,0.0,2.0,0.0,-0.024,-0.826,-0.398,-1.229,-0.329,-0.938,72.6,62.42,-1.306,-1.32,0.804,2.066,0.59,1.789,1.408,0.942,1.262,0.948,2.05,86.25,1.913,0.471,1.609,1.908,1.023,0.664,0.903,1.004,-0.105,1.075,0.835,0.908,1.093,0.471,-1.523,-0.846,-0.301,2.655
Uganda,50,2001,0.28,-1.519,0.235,0.718,0.231,0.175,0.878,18.0,0.0,2.0,1.0,-0.024,-0.826,-1.121,-0.581,-1.519,-2.185,70.31,74.23,-1.306,-1.32,0.557,2.251,0.259,1.789,1.408,0.769,1.262,0.948,2.05,86.25,1.913,0.471,2.166,1.908,1.023,0.486,0.047,1.004,-0.13,1.193,1.336,0.908,1.096,-0.08,-1.523,-0.23,-0.415,3.012
Uganda,50,2006,0.328,-1.446,0.262,0.731,0.532,0.162,0.795,18.0,0.0,2.0,1.0,0.401,-1.062,-1.391,0.095,-1.446,-1.706,69.19,61.17,1.657,0.782,0.814,2.251,0.456,1.789,1.727,0.798,1.103,1.037,2.05,93.125,0.423,-0.347,1.014,1.908,1.023,0.447,-0.049,1.004,-0.13,1.193,1.311,1.359,1.096,-0.08,-1.523,-0.23,-0.415,3.587
Uganda,50,2011,0.327,-1.286,0.257,0.704,0.549,0.162,0.797,18.0,0.0,2.0,0.0,0.401,-0.564,-1.552,0.151,-1.286,-1.521,59.29,55.32,1.657,0.782,0.31,1.826,0.241,1.575,1.627,0.86,0.941,0.846,2.05,97.375,0.428,-0.422,1.014,1.911,0.948,0.579,-0.292,1.004,-0.13,1.137,1.179,0.994,1.059,-0.08,-2.084,-0.386,-0.415,4.452
Uganda,50,2016,0.3,-1.647,0.23,0.636,0.507,0.131,0.769,18.0,0.0,2.0,1.0,0.633,-0.279,-1.662,0.36,-1.647,-1.453,67.61,60.37,1.657,0.692,0.439,1.68,0.434,1.072,1.165,0.688,0.813,0.835,2.05,97.091,0.012,-0.936,0.648,2.168,0.487,0.387,-0.107,1.004,-0.651,0.97,0.882,0.57,0.81,-0.222,-2.084,-0.611,-0.647,4.615
Venezuela,51,2000,0.573,0.285,0.305,0.687,0.774,0.704,0.624,18.0,0.0,2.0,0.0,-0.726,-0.834,-0.549,0.255,0.285,0.338,56.31,46.71,2.216,1.687,0.808,1.03,1.518,1.933,1.899,-0.132,0.994,1.447,1.918,91.231,0.623,0.472,0.075,1.887,-2.059,0.187,0.567,0.968,0.205,0.71,0.919,1.228,0.859,-0.026,-0.041,-0.605,0.888,24.396
Venezuela,51,2005,0.471,0.328,0.181,0.637,0.664,0.573,0.58,18.0,0.0,2.0,0.0,-0.726,-1.693,-0.541,-0.037,0.328,-0.908,25.26,23.88,2.216,1.178,0.709,1.03,1.126,1.933,1.899,-0.663,0.771,1.257,1.918,91.231,-0.017,0.175,0.0,1.887,-2.059,-0.142,0.567,0.968,0.203,0.531,0.919,1.228,0.859,-0.026,0.086,-0.752,0.888,27.461
Venezuela,51,2006,0.453,0.26,0.167,0.624,0.664,0.521,0.574,18.0,0.0,2.0,0.0,-0.726,-1.693,-0.688,-0.037,0.26,-0.199,74.69,76.41,2.216,1.178,0.709,1.03,0.811,1.933,1.899,-0.471,0.631,1.098,1.918,91.231,-0.017,0.175,-0.017,1.887,-2.059,-0.197,0.676,0.968,0.203,0.531,0.875,1.201,0.859,-0.026,0.086,-0.906,0.615,29.859
Benin,52,1995,0.624,0.512,0.516,0.89,0.851,0.578,0.922,18.0,0.0,2.0,0.0,0.971,-0.79,-0.013,2.105,0.512,0.277,75.8,73.65,1.983,1.185,2.089,1.41,2.258,2.212,2.127,1.463,1.775,1.676,1.215,83.625,1.881,2.087,2.951,2.446,2.377,2.307,1.673,-2.099,0.096,2.129,1.859,0.345,0.992,2.202,0.978,-0.167,-0.633,3.937
Benin,52,1996,0.624,0.419,0.514,0.897,0.85,0.574,0.922,18.0,0.0,2.0,0.0,0.971,-0.79,-0.42,2.105,0.419,-0.811,87.8,72.9,1.983,1.185,2.089,1.41,2.258,2.212,2.127,1.463,1.775,1.676,1.215,83.625,1.881,2.087,2.951,2.446,2.377,2.307,1.673,-1.528,0.096,2.129,1.859,0.345,0.992,2.202,0.978,-0.167,-0.633,4.018
Benin,52,1999,0.61,0.263,0.499,0.902,0.85,0.551,0.895,18.0,0.0,2.0,0.0,1.149,-0.79,-0.246,2.118,0.263,-0.037,70.11,65.85,1.983,1.185,2.089,1.41,2.258,2.212,2.127,1.463,1.775,1.676,1.215,83.625,1.881,2.087,2.951,2.446,2.377,2.307,1.673,-1.528,0.096,2.017,1.859,0.345,0.992,2.202,0.978,-0.167,-0.633,4.295
Benin,52,2001,0.605,0.181,0.498,0.9,0.851,0.534,0.895,18.0,0.0,2.0,0.0,1.149,-0.79,-0.386,2.128,0.181,-0.334,87.74,86.3,1.983,1.185,2.089,1.41,2.258,2.212,2.127,1.463,1.775,1.676,1.215,83.625,1.881,2.087,2.951,2.446,2.377,2.382,1.673,0.98,-0.093,2.017,1.859,0.345,0.992,2.202,0.978,-0.177,-0.633,4.517
Benin,52,2006,0.661,0.808,0.537,0.853,0.867,0.669,0.867,18.0,0.0,2.0,0.0,1.076,-0.79,-0.575,2.165,0.808,1.058,81.7,87.17,1.983,1.353,2.089,1.41,2.258,2.212,2.127,1.462,1.775,1.676,1.215,82.231,1.881,2.087,2.211,2.446,1.938,0.582,1.673,0.98,0.322,2.03,1.669,0.345,0.912,2.202,0.978,1.245,-0.233,4.75
Benin,52,2007,0.653,0.72,0.53,0.847,0.865,0.654,0.849,18.0,0.0,2.0,0.0,1.076,-0.79,-0.809,1.787,0.72,0.712,58.69,61.83,1.983,1.353,1.828,1.41,2.258,2.212,2.127,1.462,1.775,1.676,1.215,82.231,1.881,1.968,2.211,2.446,1.938,0.56,1.673,0.98,0.224,1.847,2.108,0.345,0.912,2.202,0.978,1.245,-0.233,4.817
Benin,52,2011,0.604,0.193,0.492,0.843,0.858,0.566,0.893,18.0,0.0,2.0,0.0,1.076,-0.672,-0.791,1.531,0.193,-0.184,84.82,68.39,1.983,1.275,1.694,1.41,2.258,2.212,2.127,1.462,1.775,1.676,1.215,82.231,1.881,1.968,2.211,2.446,1.938,1.171,1.673,0.98,0.402,1.465,1.667,0.11,0.996,2.202,0.978,1.245,-0.27,4.877
Benin,52,2019,0.456,-1.594,0.336,0.646,0.639,0.535,0.776,18.0,0.0,2.0,1.0,1.402,-0.034,-0.211,-0.043,-1.594,-1.943,22.99,19.23,0.966,0.902,1.32,2.524,1.727,2.153,2.326,2.121,2.301,1.926,1.639,86.444,1.436,1.619,1.364,2.07,0.42,0.995,0.783,0.98,0.543,-0.022,0.672,-0.139,0.967,2.266,1.142,1.619,-0.098,6.148
Bhutan,53,2008,0.502,1.34,0.44,0.74,0.608,0.658,0.747,18.0,0.0,2.0,0.0,1.914,1.131,1.169,1.64,1.34,1.098,79.45,61.81,0.688,1.241,0.342,-0.39,0.808,1.14,1.164,-0.229,0.765,1.23,0.995,95.5,0.886,0.325,1.274,1.554,1.423,1.516,-0.798,-0.749,1.327,-0.108,1.818,1.905,0.939,1.525,0.222,2.276,2.201,16.387
Burkina Faso,54,1998,0.49,-0.338,0.263,0.719,0.845,0.412,0.683,18.0,0.0,2.0,0.0,0.952,0.405,-1.35,1.492,-0.338,-1.351,56.08,46.92,1.567,0.952,1.213,1.065,1.516,1.717,1.363,0.092,1.691,1.205,0.624,89.733,2.59,2.111,-0.198,2.12,0.57,0.525,0.645,0.95,-0.191,0.338,2.16,0.701,0.84,1.731,-1.036,-1.012,-1.011,3.466
Burkina Faso,54,2002,0.515,-0.36,0.326,0.791,0.848,0.423,0.773,18.0,0.0,2.0,0.0,0.952,1.381,-1.318,1.47,-0.36,-1.3,64.14,33.47,1.567,0.952,1.911,1.065,1.516,1.717,1.363,1.198,1.691,1.205,0.624,89.733,2.59,2.111,0.811,2.12,0.57,1.266,0.645,0.95,0.464,1.056,1.202,0.701,0.84,1.731,-1.036,-1.012,-1.011,3.624
Burkina Faso,54,2005,0.518,-0.051,0.328,0.791,0.849,0.428,0.773,18.0,0.0,2.0,0.0,0.952,0.983,-1.421,1.456,-0.051,-0.871,57.66,36.4,1.567,0.952,1.911,1.065,1.516,1.717,1.363,1.198,1.691,1.205,0.624,89.733,2.59,2.111,0.811,2.12,0.57,1.266,0.645,0.95,0.464,1.056,1.202,0.701,0.84,1.731,-1.036,-1.012,-1.011,3.854
Cambodia,55,1993,0.319,0.406,0.101,0.383,0.489,0.392,0.438,18.0,0.0,2.0,0.0,-1.058,-0.617,-0.616,0.846,0.406,-1.564,86.78,88.84,0.797,0.177,-1.063,0.184,-0.586,0.772,1.07,0.444,0.006,0.734,-0.028,71.4,0.151,-0.284,0.015,-0.22,-1.052,-0.124,1.446,-1.736,-0.756,-0.362,-0.018,-0.701,-1.561,-0.966,-0.314,-0.942,-1.001,3.173
Cambodia,55,1998,0.348,-0.585,0.13,0.466,0.602,0.345,0.473,18.0,0.0,2.0,0.0,-1.332,-1.22,-1.188,0.432,-0.585,-0.83,93.74,92.16,2.275,0.177,-0.153,0.184,0.744,1.658,1.62,1.362,0.096,0.86,1.511,77.0,0.37,-0.006,0.001,0.447,-0.482,-0.124,1.446,0.988,-0.252,-0.388,-0.193,-0.376,-1.659,-0.48,-0.314,-0.83,-1.039,3.258
Cambodia,55,2003,0.322,-0.445,0.125,0.462,0.585,0.263,0.473,18.0,0.0,2.0,0.0,-1.504,-1.22,-1.144,0.427,-0.445,-0.577,83.22,77.92,2.275,0.177,-0.153,0.184,0.428,1.658,1.62,1.539,0.096,0.659,1.511,94.545,0.37,0.03,0.001,0.447,-0.482,-0.124,1.446,0.988,-0.374,-0.388,-0.193,-0.376,-1.282,-0.48,-0.314,-1.368,-1.039,4.334
Cambodia,55,2008,0.316,-0.573,0.12,0.436,0.564,0.27,0.473,18.0,0.0,2.0,0.0,-1.87,-1.22,-1.183,0.027,-0.573,-0.751,75.21,75.91,2.275,0.177,-0.153,0.184,0.428,1.658,1.62,1.539,0.096,0.659,1.511,94.545,0.32,-0.1,0.001,0.447,-0.482,-0.124,1.241,0.988,-0.374,-0.388,-0.363,-0.376,-1.398,-0.48,-0.314,-1.368,-1.039,6.14
Indonesia,56,2004,0.696,2.188,0.535,0.843,0.795,0.823,0.829,17.0,0.0,2.0,0.0,0.821,-0.551,-1.001,1.252,2.188,1.155,84.09,87.6,0.278,1.915,1.181,0.373,1.199,1.24,1.095,0.853,1.518,1.27,1.646,92.0,1.611,1.864,1.551,0.648,0.79,1.597,0.788,0.978,0.77,1.392,1.553,0.444,-0.022,1.111,-0.347,-0.182,-0.495,12.856
Indonesia,56,2009,0.69,1.804,0.528,0.844,0.795,0.801,0.841,17.0,0.0,2.0,0.0,0.904,-0.551,-1.261,1.328,1.804,0.698,71.91,74.04,0.278,1.915,1.189,0.329,1.513,1.756,1.181,1.065,1.693,1.591,2.014,93.2,1.611,1.864,1.551,0.648,1.112,1.597,0.788,0.978,0.77,1.392,1.553,0.444,-0.022,1.111,-0.347,-0.182,-0.495,16.931
Mozambique,57,1994,0.246,0.068,0.193,0.676,0.726,0.072,0.563,18.0,0.0,2.0,0.0,0.146,1.378,-0.376,1.502,0.068,-0.37,88.03,66.49,1.898,1.394,1.217,2.018,1.128,1.609,0.983,1.093,0.287,0.834,0.991,92.727,1.865,0.322,0.317,1.996,1.091,0.667,1.2,-0.971,0.428,1.313,-0.564,0.317,0.217,0.959,-1.02,-0.935,-0.886,1.808
Mozambique,57,1999,0.458,-0.939,0.294,0.683,0.799,0.381,0.635,18.0,0.0,2.0,0.0,0.146,1.23,-0.443,1.5,-0.939,-1.031,69.51,59.42,1.898,1.394,1.217,2.018,1.128,1.609,0.983,1.093,0.287,0.834,1.242,92.727,1.865,0.322,0.969,1.996,1.562,0.667,1.2,1.0,-0.056,1.313,-0.053,0.317,0.641,1.054,-1.02,-0.935,-0.886,2.238
Mozambique,57,2004,0.428,-0.004,0.292,0.733,0.801,0.274,0.77,18.0,0.0,2.0,0.0,0.146,1.23,-0.445,1.507,-0.004,-0.675,36.42,35.63,1.898,1.394,1.217,2.018,1.128,1.609,0.983,1.093,0.287,0.834,1.242,92.727,1.865,0.368,2.124,1.996,1.562,0.667,1.2,1.0,0.332,1.313,0.862,0.416,0.641,1.46,-1.02,-0.935,-0.886,2.734
Mozambique,57,2009,0.46,-0.549,0.303,0.723,0.807,0.349,0.673,18.0,0.0,2.0,1.0,-0.118,1.23,-0.156,1.554,-0.549,-1.007,44.63,42.68,1.898,1.394,1.143,2.018,1.128,1.609,0.983,1.093,0.287,0.834,1.242,92.727,1.865,0.368,1.11,1.996,1.562,0.806,1.238,1.0,0.332,1.313,0.683,0.169,0.641,1.169,-1.107,-0.974,-0.953,3.151
Mozambique,57,2014,0.435,-0.502,0.3,0.724,0.801,0.298,0.723,18.0,0.0,2.0,1.0,0.13,1.579,-0.062,1.758,-0.502,-1.091,48.84,44.87,1.473,1.755,1.033,2.181,1.37,1.609,1.397,0.596,0.287,0.929,1.242,89.4,1.865,0.326,1.313,1.374,1.163,1.042,1.459,1.0,0.561,1.184,0.707,0.066,0.836,1.152,-1.107,-0.974,-1.134,3.689
Mozambique,57,2019,0.394,-0.687,0.249,0.644,0.795,0.245,0.764,18.0,0.0,2.0,1.0,0.13,1.546,-0.587,1.572,-0.687,-1.381,51.41,49.92,1.419,1.665,-0.035,1.806,1.265,1.133,0.626,-0.052,-0.189,0.825,1.242,88.0,1.859,0.751,1.734,2.137,0.348,0.293,1.459,1.0,0.48,0.593,0.988,0.43,1.061,1.152,-1.457,-0.938,-1.175,4.132
Nepal,58,1994,0.403,-1.076,0.323,0.863,0.815,0.206,0.709,18.0,0.0,2.0,0.0,0.227,-0.667,-1.439,0.268,-1.076,-1.607,86.74,82.77,2.374,2.024,2.012,0.825,1.747,0.107,0.836,-0.746,1.329,-0.411,1.434,96.8,1.544,1.517,1.643,0.749,-0.875,2.172,0.159,-1.634,1.63,0.548,1.961,-0.677,1.348,1.004,-0.441,-0.91,-0.389,3.184
Nepal,58,1999,0.385,-1.829,0.305,0.823,0.78,0.198,0.709,18.0,0.0,2.0,0.0,0.227,-0.667,-1.436,0.586,-1.829,-1.492,65.79,75.77,1.091,2.024,2.012,0.825,0.918,-0.218,0.584,0.378,1.329,-0.411,1.434,76.154,1.544,1.517,1.643,0.749,-0.875,2.172,0.159,0.982,0.677,0.548,1.961,-0.677,1.348,1.004,-0.441,-0.91,-0.389,3.517
Nepal,58,2008,0.473,-0.302,0.407,0.892,0.844,0.318,0.851,18.0,0.0,2.0,1.0,1.023,-1.049,-0.597,0.757,-0.302,-0.5,63.29,74.42,2.342,2.221,1.622,1.545,1.735,0.991,1.181,1.183,1.693,0.158,0.821,88.154,1.913,2.019,1.977,1.732,-0.728,2.836,1.019,0.982,1.29,2.202,1.652,0.982,1.699,1.476,0.772,-0.805,-0.497,4.323
Nepal,58,2013,0.28,1.036,0.191,0.855,0.819,0.077,0.842,18.0,0.0,2.0,0.0,0.923,-1.445,-0.72,0.926,1.036,0.407,78.34,74.42,2.342,2.503,1.252,1.368,1.158,1.604,0.266,1.183,1.693,0.101,0.821,91.917,1.786,2.019,1.135,1.943,-1.052,1.868,0.856,0.982,1.356,1.449,1.749,0.919,1.124,1.303,0.866,-0.83,-0.668,5.347
Nepal,58,2017,0.658,0.885,0.551,0.878,0.861,0.649,0.874,18.0,0.0,2.0,0.0,1.14,-1.014,-0.387,0.83,0.885,0.944,68.67,56.98,2.167,2.338,1.692,0.907,1.43,1.578,0.568,1.366,1.63,0.325,1.313,92.125,1.437,1.439,1.381,2.083,-0.916,2.324,0.859,0.982,1.475,1.329,1.604,1.093,1.313,1.174,0.873,-0.894,-0.64,5.981
Nicaragua,59,1996,0.682,0.365,0.456,0.887,0.881,0.67,0.779,16.0,0.0,2.0,0.0,0.128,1.687,-0.305,1.728,0.365,1.501,76.39,75.57,1.89,1.784,1.75,2.276,1.281,1.703,1.367,1.907,0.915,1.133,1.396,90.545,2.121,1.773,1.836,0.568,1.74,1.928,0.502,-1.694,2.202,1.604,1.511,1.425,-0.542,0.248,0.026,-0.589,-0.813,5.881
Nicaragua,59,2001,0.592,0.691,0.374,0.868,0.81,0.557,0.632,16.0,0.0,2.0,0.0,-0.296,1.687,-0.314,1.895,0.691,1.51,74.91,75.05,1.89,1.784,1.75,2.276,1.362,1.703,1.367,1.907,0.915,1.133,1.396,90.545,1.33,1.549,0.671,0.568,1.74,1.405,0.502,-0.883,1.925,1.604,1.081,0.581,-0.542,-0.139,0.066,-0.589,-0.813,6.782
Nicaragua,59,2006,0.56,0.2,0.321,0.829,0.769,0.552,0.626,16.0,0.0,2.0,0.0,-0.296,1.687,-0.339,1.509,0.2,1.109,61.23,74.16,1.89,1.538,1.677,2.276,1.362,1.703,1.367,1.799,0.915,1.133,1.396,90.545,0.832,0.899,0.718,0.568,1.74,1.267,0.345,-0.883,0.961,1.02,1.128,1.275,-0.542,-0.139,0.066,-0.589,-0.813,7.584
Nicaragua,59,2011,0.427,-0.454,0.187,0.615,0.657,0.443,0.604,16.0,0.0,2.0,0.0,-0.296,1.687,-0.443,-0.036,-0.454,-0.862,79.09,71.84,1.631,1.004,0.393,2.276,1.15,1.703,1.367,0.971,0.84,1.184,1.838,92.818,0.335,0.266,0.112,1.177,1.535,-0.223,0.392,-0.883,0.212,0.135,0.775,-0.917,-0.391,-0.301,0.586,-0.589,-0.746,8.552
Niger,60,1999,0.255,0.204,0.172,0.765,0.415,0.133,0.862,18.0,0.0,2.0,0.0,0.726,-0.582,-0.995,2.06,0.204,0.548,39.4,38.31,-0.249,0.175,1.498,0.406,0.446,1.084,1.206,0.25,0.324,0.444,0.921,82.0,0.226,0.454,1.923,0.906,1.549,1.465,-0.524,-1.793,1.323,0.976,0.965,0.787,1.987,1.329,-0.468,-0.13,-0.589,1.918
Niger,60,2004,0.546,0.98,0.405,0.797,0.762,0.543,0.816,18.0,0.0,2.0,0.0,0.726,-0.582,0.179,2.054,0.98,-0.115,48.25,46.7,1.676,1.545,2.616,0.406,0.937,1.084,1.173,0.641,0.895,0.513,0.921,76.182,1.226,1.212,1.001,0.906,1.549,0.812,-0.075,0.959,0.467,0.976,1.219,0.781,1.045,1.329,-0.261,-0.58,-0.589,1.907
Niger,60,2011,0.542,-0.224,0.388,0.857,0.8,0.581,0.931,18.0,0.0,2.0,0.0,0.821,-0.582,0.078,1.127,-0.224,-0.543,50.4,46.44,1.676,1.545,2.602,0.406,1.251,1.513,1.421,0.641,1.436,0.64,1.123,75.909,1.409,1.765,2.367,1.466,2.21,1.396,0.068,0.959,1.34,1.634,1.544,1.11,1.695,1.61,-0.261,-0.986,-0.567,2.093
Zambia,61,1996,0.495,-0.284,0.387,0.736,0.772,0.472,0.905,18.0,0.0,2.0,0.0,-1.376,-0.957,-0.609,0.12,-0.284,-1.574,55.52,28.18,1.876,1.549,0.636,1.936,2.053,1.547,0.983,0.67,0.91,0.639,0.728,98.5,1.564,1.12,1.427,1.721,2.018,0.564,0.595,-1.118,1.392,0.987,0.778,-0.367,0.442,1.453,-1.799,-1.231,0.037,3.011
Zambia,61,2001,0.492,-0.312,0.393,0.744,0.786,0.445,0.905,18.0,0.0,2.0,1.0,-1.376,-0.957,-0.607,0.041,-0.312,-1.046,67.81,35.08,1.876,1.549,0.636,1.936,2.053,1.547,0.983,0.67,0.91,0.639,0.728,98.5,1.669,1.12,1.427,1.721,2.018,0.564,0.595,0.947,1.392,0.987,1.099,0.18,0.442,1.57,-1.799,-1.029,0.037,3.287
Zambia,61,2006,0.501,-0.142,0.419,0.766,0.789,0.452,0.869,18.0,0.0,2.0,0.0,-1.002,-1.223,-0.659,0.172,-0.142,-0.455,70.77,55.75,1.876,1.378,0.894,1.936,2.053,1.547,0.983,0.988,0.784,0.682,0.728,92.111,1.669,1.12,1.769,1.525,2.018,0.564,0.251,0.947,1.352,1.609,0.925,0.46,0.368,0.867,-1.799,-0.768,-0.507,4.32
Zambia,61,2008,0.506,-0.008,0.422,0.764,0.784,0.474,0.848,18.0,0.0,2.0,0.0,-1.002,-1.223,-0.616,0.157,-0.008,-0.329,45.43,34.18,1.876,1.378,0.894,1.936,2.053,1.547,0.983,0.988,0.695,0.682,0.728,92.111,1.565,1.12,1.559,1.525,2.018,0.262,0.251,0.947,1.313,1.609,0.946,0.46,0.586,0.867,-1.6,-0.768,-0.507,4.995
Zambia,61,2011,0.502,-0.082,0.42,0.741,0.75,0.5,0.842,18.0,0.0,2.0,0.0,-0.965,-1.223,-0.671,0.079,-0.082,-0.046,53.65,42.25,1.876,1.378,0.943,1.936,2.053,1.547,0.983,0.988,0.695,0.737,0.728,96.9,1.159,0.929,1.559,1.58,2.847,-0.262,0.012,0.947,1.313,1.2,1.197,0.618,0.971,0.878,-1.6,-0.765,-0.477,5.979
Zambia,61,2016,0.402,-1.011,0.33,0.595,0.69,0.383,0.722,18.0,0.0,2.0,1.0,-1.11,-2.44,-0.657,-0.76,-1.011,-1.406,56.45,51.58,1.876,0.647,1.122,1.996,1.763,1.626,0.942,0.967,0.552,0.626,0.728,95.875,1.119,0.378,0.986,1.58,1.359,-1.574,-0.734,0.947,0.652,0.198,0.656,1.068,1.041,1.459,-0.87,-1.008,-0.94,6.263
Zimbabwe,62,2000,0.283,-2.138,0.185,0.401,0.589,0.139,0.82,18.0,0.0,2.0,1.0,-0.6,0.542,-1.296,-1.07,-2.138,-2.557,48.33,43.46,2.167,1.097,-0.684,1.64,1.673,1.503,1.457,-0.739,0.303,0.692,1.716,99.727,0.907,-0.987,0.351,1.711,-1.518,-0.749,-0.554,0.982,-1.119,0.11,-0.73,-0.659,-1.505,-0.125,-1.375,1.823,-0.36,6.575
Zimbabwe,62,2002,0.268,-2.154,0.166,0.374,0.599,0.088,0.82,18.0,0.0,2.0,1.0,0.813,0.542,-1.366,-1.718,-2.154,-2.461,54.33,54.25,2.167,1.097,-0.956,1.64,0.946,1.361,1.998,-0.739,0.303,0.692,1.716,99.727,0.907,-0.987,0.351,1.711,-1.518,-1.168,-0.554,0.982,-1.119,0.458,-0.73,-0.659,-1.505,-0.125,-1.375,1.625,-0.36,5.808
Zimbabwe,62,2005,0.255,-2.053,0.151,0.294,0.614,0.081,0.767,18.0,0.0,2.0,1.0,0.813,0.542,-1.369,-2.049,-2.053,-1.959,47.66,48.66,2.167,1.097,-0.956,1.64,0.946,1.361,1.998,-0.826,0.303,0.692,1.716,99.727,0.907,-0.987,0.351,1.711,-1.518,-1.168,-0.554,0.982,-1.119,-0.969,-0.73,-0.659,-1.505,-0.125,-1.375,1.625,-1.082,4.377
Zimbabwe,62,2018,0.303,-1.439,0.211,0.471,0.61,0.176,0.815,18.0,0.0,2.0,1.0,1.181,0.455,-1.057,-0.652,-1.439,-1.587,85.16,63.4,2.167,0.684,-0.426,1.908,1.027,0.959,1.234,-0.705,0.73,0.955,1.716,99.4,0.734,-0.644,0.983,1.571,-1.5,-0.435,-0.52,0.982,-0.681,-0.453,0.393,-0.756,-0.99,-1.07,-0.75,1.01,-1.061,5.671
Guinea,63,2010,0.232,-0.515,0.089,0.701,0.521,0.126,0.771,18.0,0.0,2.0,0.0,0.049,-0.715,-1.005,1.126,-0.515,-0.794,67.87,54.94,1.019,0.274,-0.673,1.976,0.686,1.427,-0.078,1.101,-0.189,-0.494,1.085,95.0,0.037,0.037,1.458,0.25,0.857,0.703,-0.492,0.977,0.166,1.282,1.773,-0.455,0.293,0.5,-1.339,-0.998,-1.719,3.349
Guinea,63,2013,0.315,-0.551,0.113,0.684,0.625,0.255,0.734,18.0,0.0,2.0,1.0,0.167,-0.562,-1.345,1.492,-0.551,-0.754,63.53,62.99,1.134,0.715,-0.455,1.976,1.037,1.502,-0.594,0.879,-0.251,-0.475,1.764,86.8,0.073,0.075,1.268,0.25,0.769,1.405,-0.392,0.977,0.045,1.391,1.193,-0.534,-0.009,0.3,-1.339,-0.896,-1.221,3.652
Guinea,63,2015,0.367,-0.566,0.16,0.681,0.598,0.255,0.742,18.0,0.0,2.0,0.0,0.167,-0.562,-1.27,1.498,-0.566,-0.995,68.36,68.03,1.134,0.715,-0.455,1.976,1.037,1.502,-0.594,0.879,-0.251,-0.475,1.764,86.8,0.073,-0.012,1.455,0.25,0.769,1.491,-0.392,0.977,0.045,1.293,1.125,-0.407,-0.009,0.3,-1.339,-0.896,-1.221,3.763
Ivory Coast,64,2010,0.447,-0.552,0.303,0.703,0.781,0.35,0.712,18.0,0.0,2.0,0.0,0.712,0.28,-1.025,1.993,-0.552,-2.07,83.73,55.61,1.958,1.16,1.333,1.8,1.451,0.655,1.486,1.315,1.517,0.421,0.998,71.25,1.953,1.666,0.959,0.806,1.441,0.388,1.603,0.935,0.536,0.894,1.143,0.097,0.902,1.805,1.036,-1.209,-1.358,5.456
Ivory Coast,64,2011,0.427,-0.34,0.297,0.669,0.714,0.369,0.669,18.0,0.0,2.0,0.0,0.712,0.366,-0.658,1.033,-0.34,-1.129,36.56,18.16,1.384,0.786,1.221,1.8,1.277,0.786,1.486,1.27,1.517,0.421,0.998,79.917,1.953,1.462,0.687,0.806,1.265,0.1,1.603,0.935,0.077,0.763,1.247,0.214,0.803,1.448,1.036,-1.143,-1.259,5.457
Mauritania,65,1996,0.307,-1.473,0.135,0.612,0.544,0.129,0.274,18.0,0.0,2.0,0.0,0.21,-0.261,-2.381,2.391,-1.473,-0.9,52.06,47.71,0.23,0.44,1.184,-2.056,1.009,0.801,1.328,0.522,1.167,0.832,1.546,81.0,0.639,-0.011,-1.361,0.696,-0.348,0.022,0.136,0.901,-0.011,0.141,0.599,0.693,-1.428,-1.101,-1.441,-2.033,-1.035,5.195
Mauritania,65,2001,0.313,-1.126,0.139,0.651,0.521,0.14,0.369,18.0,0.0,2.0,0.0,0.476,-0.261,-2.377,2.414,-1.126,-0.892,54.45,47.3,0.23,0.44,1.184,-2.056,1.101,1.092,1.328,0.843,1.167,0.832,1.546,81.0,0.823,0.471,-0.607,0.696,-0.348,0.014,0.571,0.901,0.889,0.141,0.599,1.044,-1.428,-1.101,-1.441,-2.033,-0.981,5.063
Mauritania,65,2006,0.249,-0.196,0.12,0.876,0.568,0.056,0.446,18.0,0.0,2.0,0.0,0.706,0.229,-1.056,2.481,-0.196,-0.151,73.42,54.73,0.482,0.44,1.818,-2.056,1.031,1.327,1.328,0.753,1.167,0.832,1.546,81.0,1.862,1.07,-0.45,0.899,-0.442,1.146,2.003,0.901,1.802,1.787,1.631,1.059,-0.07,-2.244,-1.441,-1.724,-0.73,6.314
