country,country_id,year,electoral_democracy_index,electoral_fairness_index,liberal_democracy_index,freedom_of_expression_index,freedom_of_association_index,free_and_fair_elections_index,civil_society_participation_index,voting_age_restrictions,compulsory_voting,women_voting_rights,election_monitoring_quality,campaign_donation_regulation,public_campaign_financing,vote_buying,campaign_freedom,electoral_fairness_index,election_result_acceptance,voter_turnout,voter_participation_rate,party_ban_restrictions,opposition_party_autonomy,academic_freedom,religious_freedom,freedom_of_movement,men_domestic_movement_freedom,women_domestic_movement_freedom,freedom_to_choose_residence,men_property_rights,women_property_rights,state_control_over_internet,state_territorial_control,civil_society_organizational_autonomy,civil_society_repression,government_consultation_with_civil_society,gender_inclusion_in_civil_society,religious_organization_control,media_censorship,media_censorship_effort,media_censorship_binary,journalist_harassment,media_self_censorship,media_bias,media_corruption,legislative_constraints_on_executive,judicial_constraints_on_executive,other_constraints_on_executive,education_equality,health_equality,gdp_per_capita
Ghana,7,2016,0.731,1.576,0.618,0.902,0.904,0.732,0.868,18.0,0.0,2.0,0.0,1.054,-1.052,-0.837,2.032,1.576,0.329,67.55,70.88,1.787,1.542,2.871,2.502,2.327,2.639,1.851,1.559,1.89,1.57,1.886,95.4,3.009,2.544,1.52,1.627,1.277,1.876,1.849,1.013,1.308,1.547,1.672,0.874,0.995,1.31,1.112,-0.578,0.565,9.692
South Africa,8,1994,0.391,0.424,0.292,0.829,0.896,0.516,0.89,18.0,0.0,2.0,0.0,0.32,0.997,0.541,0.099,0.424,1.482,86.87,85.53,2.292,1.855,0.36,0.259,-0.26,-0.148,0.356,1.308,1.032,1.158,2.154,89.333,3.54,1.114,1.581,2.68,0.258,1.549,1.792,0.993,1.193,1.275,0.966,1.612,1.185,0.793,1.345,-1.171,-0.425,17.834
South Africa,8,1999,0.705,1.77,0.59,0.865,0.933,0.691,0.861,18.0,0.0,2.0,0.0,0.32,1.143,0.553,0.118,1.77,1.503,89.28,63.86,2.292,1.855,1.345,1.425,1.827,2.025,1.799,1.447,1.032,1.158,2.154,96.625,3.54,2.939,1.115,2.68,0.258,1.549,1.792,0.993,1.193,1.35,1.889,1.612,1.185,0.793,1.096,-1.036,-0.425,19.022
Burma/Myanmar,10,2015,0.366,0.686,0.183,0.547,0.621,0.455,0.555,18.0,0.0,2.0,0.0,0.56,-0.937,-0.312,1.148,0.686,0.942,69.75,61.87,0.88,1.428,-0.056,-0.584,-0.08,-0.451,-0.29,-0.312,-0.449,0.325,1.633,77.273,0.067,-0.089,0.037,0.95,0.195,0.61,0.26,0.97,0.036,0.194,0.183,0.201,1.072,0.174,-0.6,-0.727,-1.281,12.432
Russia,11,1999,0.462,-0.073,0.282,0.804,0.589,0.47,0.578,18.0,0.0,2.0,0.0,1.029,0.312,-0.883,0.993,-0.073,-0.018,62.33,59.12,0.32,0.205,1.619,0.917,1.204,1.21,1.84,0.245,1.63,1.906,2.077,77.8,0.801,1.215,-0.073,1.154,0.217,0.455,2.094,-1.087,0.272,1.937,0.391,-0.125,-0.022,1.562,-0.674,0.901,0.968,26.756
Russia,11,2000,0.407,-0.1,0.219,0.601,0.53,0.505,0.537,18.0,0.0,2.0,0.0,1.029,0.312,-0.628,0.993,-0.1,-0.109,68.64,68.85,0.203,0.145,0.91,0.587,1.083,1.21,1.402,-0.138,1.63,1.906,2.077,98.2,0.346,0.724,-0.073,1.154,0.359,-0.263,2.094,0.942,0.023,1.004,-0.002,-0.401,0.02,1.562,-0.674,0.901,0.968,28.871
Russia,11,2003,0.339,-0.417,0.166,0.477,0.412,0.486,0.447,18.0,0.0,2.0,1.0,1.412,0.636,-0.421,0.523,-0.417,-0.712,55.67,54.34,0.423,-0.417,0.345,0.587,1.083,1.21,1.413,-0.163,1.63,1.906,2.077,98.333,0.244,0.311,-0.073,1.154,0.595,-0.405,2.094,0.942,-0.249,0.304,-0.14,-0.401,-0.334,1.33,-0.674,1.074,1.205,35.865
Russia,11,2004,0.326,-0.314,0.153,0.458,0.391,0.432,0.447,18.0,0.0,2.0,1.0,1.412,0.636,-0.298,0.523,-0.314,-0.101,64.39,62.22,0.423,-0.417,0.345,0.465,1.083,1.21,1.848,-0.163,1.63,1.906,2.077,98.333,0.136,0.311,-0.073,1.154,0.595,-0.405,2.094,0.942,-0.249,-0.2,-0.225,-1.012,-0.334,0.93,-0.674,1.074,1.205,38.952
Russia,11,2007,0.316,-0.594,0.146,0.446,0.376,0.429,0.409,18.0,0.0,2.0,1.0,1.412,0.636,-0.643,0.353,-0.594,-0.608,63.71,61.91,0.178,-0.417,0.263,0.294,1.029,1.21,1.49,-0.258,1.63,1.906,2.077,98.8,-0.043,0.246,-0.381,1.154,0.595,-0.503,1.416,0.942,-0.249,-0.262,-0.225,-1.012,-0.334,0.874,-0.674,1.074,1.205,49.864
Russia,11,2008,0.305,-0.568,0.137,0.427,0.381,0.383,0.427,18.0,0.0,2.0,0.0,1.412,0.66,-0.643,0.353,-0.568,-0.538,69.71,65.37,0.412,-0.417,0.263,0.259,1.05,1.21,1.743,-0.226,1.63,1.906,2.077,98.8,-0.053,0.235,-0.282,1.154,0.606,-0.587,1.416,0.942,-0.278,-0.438,-0.354,-1.012,-0.467,0.874,-0.674,1.074,1.173,52.518
